State,Ballotpedia,Cook,Sabato,Rothenberg
Alabama,Safe R,Solid R,Safe R,Safe R
Alaska,Safe R,Likely R,Safe R,Safe R
Arizona,Competitive R,Lean R,Likely R,R Favored
Arkansas,Safe R,Solid R,Safe R,Safe R
California,Safe D,Solid D,Safe D,Safe D
Colorado,Safe D,Likely D,Safe D,Safe D
Connecticut,Safe D,Solid D,Safe D,Safe D
Florida,Battleground,Lean R,Lean R,Lean R
Georgia,Safe R,Likely R,Safe R,Safe R
Hawaii,Safe D,Solid D,Safe D,Safe D
Idaho,Safe R,Solid R,Safe R,Safe R
Illinois,Battleground,Lean D,Likely D,Lean D
Indiana,Battleground,Toss-up,Toss-up,Pure Toss-up
Iowa,Safe R,Likely R,Safe R,Safe R
Kansas,Safe R,Solid R,Safe R,Safe R
Kentucky,Safe R,Solid R,Safe R,Safe R
Louisiana,Safe R,Solid R,Likely R,Safe R
Maryland,Safe D,Solid D,Safe D,Safe D
Missouri,Battleground,Toss-up,Toss-up,Pure Toss-up
Nevada,Battleground,Toss-up,Toss-up,Pure Toss-up
New Hampshire,Battleground,Toss-up,Toss-up,Pure Toss-up
New York,Safe D,Solid D,Safe D,Safe D
North Carolina,Battleground,Toss-up,Toss-up,Pure Toss-up
North Dakota,Safe R,Solid R,Safe R,Safe R
Ohio,Competitive R,Lean R,Safe R,R Favored
Oklahoma,Safe R,Solid R,Safe R,Safe R
Oregon,Safe D,Solid D,Safe D,Safe D
Pennsylvania,Battleground,Toss-up,Lean D,Pure Toss-up
South Carolina,Safe R,Solid R,Safe R,Safe R
South Dakota,Safe R,Solid R,Safe R,Safe R
Utah,Safe R,Solid R,Safe R,Safe R
Vermont,Safe D,Solid D,Safe D,Safe D
Washington,Safe D,Solid D,Safe D,Safe D
Wisconsin,Battleground,Toss-up,Lean D,Toss-up/Tilt D
